ID,IncHomeS,Age,Income,Educ,Ownershp,Sqft4cat,Attitude,SubN,PBC,EnvironmentC,CostC,ComfortS,HabitHC
174,6,35,7,4,0,1,6.5,3,5,7,6,6,5.333333333
392,5,22,1,4,0,2,6,3.5,6,5.5,4,5.666666667,5.5
843,8,22,5,3,1,3,5.25,4.5,6,5.5,5.5,6.333333333,3.75
703,7,43,8,6,1,1,6,5,5,6,6.5,6.666666667,5
566,6,59,4,2,1,3,7,6,7,7,7,4,7
124,4,26,1,4,0,1,7,5.5,6,7,6.5,3.333333333,3.5
131,2,37,5,5,0,2,6,4,6,6,5.5,1.333333333,5
246,4,27,1,2,0,3,5,4,5,5,6.5,5.666666667,5.5
414,3,22,3,2,0,4,7,5.5,6,1.5,5,3,7
463,5,24,5,4,0,2,5,4.5,4,4.75,4.5,6,5.5
485,3,25,3,5,0,1,7,5.5,6,7,6.5,4.666666667,5.5
503,8,35,4,4,0,1,4.75,4,5,3.25,4.5,4.666666667,3.5
831,6,23,5,4,1,1,5.25,4.5,5,4.25,5,5,5.5
27,3,30,10,5,0,1,5.75,4,6,4.5,6,4.333333333,2.5
48,4,18,5,2,0,1,6.5,6.5,5,5.5,4,4.333333333,4.75
102,4,29,8,4,0,1,3.25,3.5,7,4.5,7,6.666666667,5
163,7,32,7,4,0,1,6,5,4,5.75,4,4,3.75
364,4,43,5,4,0,1,7,4.5,6,6,7,3.333333333,4
808,2,22,6,4,0,4,5.5,4,4.5,5.75,4.5,4.333333333,7
816,4,21,3,4,1,2,5.5,5.5,6,3.75,4.5,6.333333333,6.5
227,7,33,3,4,0,1,6.25,4,5.5,6,6.5,5,6
308,6,51,4,3,1,1,7,6,7,7,7,3,5.5
508,4,22,5,4,0,1,5.5,5.5,6,4.5,5.5,4.333333333,6.25
376,4,25,1,4,0,2,4,4,4,4.25,2,3.666666667,5.5
682,7,44,9,5,1,4,7,5,6,4.5,7,5,4.75
781,4,32,3,2,1,3,4.75,2,6,4.5,4,3,5.25
252,6,38,4,2,0,4,6,4.5,6,4.25,5.5,6,4.5
388,3,28,1,3,0,2,5.75,1,7,5.75,6,6,4
647,7,42,1,2,0,1,4,1,3.5,1,5,7,6.25
672,7,32,5,2,0,1,7,1,7,6,7,7,4
690,4,28,6,4,0,3,6.75,4.5,6,6.5,6,3,5.75
807,3,24,5,4,0,1,7,7,7,7,7,1,1.666666667
856,3,18,1,2,0,1,6,4.5,7,3.75,5,3.666666667,2.5
81,5,26,7,4,0,1,5,4.5,4.5,4.5,4,4.333333333,3
123,1,40,6,5,0,1,6.5,5.5,5.5,6.25,7,2,6.5
270,2,35,7,4,0,4,4.75,4,3.5,3.75,4,5.666666667,3.75
659,4,42,5,2,0,1,2,4,6,5,5.5,6.666666667,4
42,7,25,3,2,0,1,7,5,6,6,6.5,6,6
198,3,27,4,2,0,2,5.5,3,5,4.25,4,4.666666667,6
790,6,25,8,3,0,2,7,7,7,7,7,7,7
872,4,37,7,2,0,4,7,6.5,7,5.5,6,2.666666667,6.75
557,5,44,5,4,0,3,7,5,5,6,6,2.333333333,6
655,1,20,6,3,0,1,6.75,5.5,7,5.75,7,3.666666667,4.666666667
11,4,42,7,4,1,3,6.25,3.5,7,4,7,2.666666667,6.75
186,3,31,5,2,1,3,7,4,6,2,7,3.666666667,7
528,1,23,6,4,0,2,7,7,7,6.75,7,4.666666667,5.5
581,4,28,6,5,1,3,6.25,6,6.5,6.75,6,2,6.5
72,4,52,6,3,1,2,7,4,6.5,5.5,7,2.666666667,7
324,8,39,1,3,0,1,5,3.5,6.5,5.25,7,4.333333333,3.75
428,4,57,7,2,1,4,7,4,7,7,7,6.666666667,4.75
852,5,25,5,4,0,2,7,5,6,6,6,6,4
877,3,27,7,4,0,4,7,5.5,4.5,5.75,5,4.666666667,5.5
556,4,35,5,1,0,4,7,3.5,2,6.25,4,7,4
767,4,34,7,4,1,4,7,5,7,7,7,4.333333333,5
289,4,58,3,3,0,2,6,4.5,4.5,6.5,6,4,6.333333333
402,3,41,6,5,1,4,6.25,5,6.5,5.75,5.5,3.333333333,6
541,4,26,6,3,1,2,5.75,4.5,5.5,4.5,6,5.666666667,6
104,3,52,3,3,1,1,6,2,4.5,6,5.5,4.333333333,5.5
579,3,24,3,2,0,1,6,4.5,3.5,5,5.5,5.333333333,6
178,5,21,1,2,0,1,5.5,4,6.5,5.75,5.5,6,4.5
664,1,27,4,3,0,2,7,2,4,6,5,2.333333333,6.75
145,4,29,8,3,1,4,7,7,7,7,6.5,1,6.5
382,4,32,6,4,0,2,7,5,7,6.25,7,5,5
120,4,33,6,4,1,2,6.5,2,6,6.75,5.5,3.333333333,6.5
437,3,41,4,2,0,2,6,3.5,6,5.25,6,5.666666667,5.5
129,5,43,4,3,1,3,7,4.5,6,6,6,4.666666667,7
413,1,34,9,2,1,3,7,4,6,7,7,2,7
504,4,25,7,6,0,1,6.5,2.5,7,4.25,4,6.666666667,4.5
640,3,28,5,4,1,3,7,6,6,7,7,2,5.5
511,4,49,3,2,1,1,4.75,2,5.5,4.75,4.5,3,6.25
236,7,28,3,4,0,3,5.25,4,3.5,4.5,4.5,3,6.25
845,4,27,4,3,0,2,7,7,7,7,6,7,7
378,4,26,6,4,0,2,7,4.5,4.5,3.5,7,5,5.666666667
