ID,PBillStatus,CompR,HTdevice,HTsource,DeviceType,@9to5,HomeW,HomeWYN,HomeS,HomeSYN,AwayW,AwayWNY,AwayS,AwaySNY,IncHomeS,IncHomeW,ReasonPos,ReasonNeg,RewardForm,IncAwayS,IncAwayW,IncWD,IncDish,IncAutoS,IncAutoW,IncEmer10S,IncEmer30S,IncEmer10W,IncEmer30W,EmerRForm,EnergyC1,EnergyC2,EnergyC3,EnergyC4,MC1,MC2,MC3,MC4,MC5,Frugal1,Frugal2,Frugal3,Trust1,Trust2,Trust3,Trust4,ComfNS1,ComfNS2,ComfNS3,ComfNW1,ComfNW2,ConvB1,ConvB2,ConvB3,ConvB4,ControlN1,ControlN2R,ControlN3,ControlN4,Atti1,Atti2,Atti3,Atti4,SubNorm1,SubNorm2,SubNorm3,PBC1,PBC2,PBC3R,PBC4,PBC5,INT1,INT2,INT3,INT4,SN1,SN2,SN3,SN4,HabitC1,HabitC2,HabitC3,HabitC4,HabitC5,HabitC6,HabitC7,HabitE1,HabitE2,HabitE3,State,City,Age,Gender,OwnRent,BillS,NBillS,BillW,NBillW,Utility,Sqft,SqftCate,HouseholdS,Political,Ethnic,Income,Educ,Job,Latitude,Longitude,EnergyC,MCG,MCBill,Frugal,Trust,ComfortS,ComfortW,Attitude,SubN,PBC,hot,cold,ACYN,HeatYN,valid1,valid2,valid
1,3,1,2,1,2,1,64,1,,0,62,1,,0,8,8,,2,5,8,8,7,,8,8,8,8,8,8,3,5,3,3,4,3,3,3,4,5,5,5,5,3,4,4,3,5,5,6,4,4,4,4,5,5,3,1,7,4,5,5,6,5,4,4,2,6,5,5,5,5,3,3,4,1,3,3,1,5,6,5,2,3,7,7,7,1,2,2,42,Rootstown,35,2,2,100.00,2,250.00,4,Ohio Edison,3000,4.00,4,4,1,7,4,2,41.04170227,-81.55930328000000,3.75,3.00,4.00,5.00,3.50,5.33,4.00,5.25,4.00,5.00,0,1,1,1,1,1,1
4,1,2,1,1,1,1,68,1,73,1,65,1,78,1,4,4,,,5,5,5,7,,5,5,4,5,4,5,1,4,5,5,5,5,4,5,4,6,6,6,6,3,4,4,3,5,5,4,3,3,4,2,5,4,6,4,5,5,6,6,6,6,5,4,5,6,6,5,6,5,6,6,5,2,5,5,5,5,7,7,5,5,7,2,6,1,1,1,41,Mt. Airy,42,2,2,175.00,3,225.00,4,Duke Power,1200,2.00,4,5,1,4,3,10,36.46170044,-80.61910248000000,4.75,4.50,5.50,6.00,3.50,4.67,3.00,6.00,4.50,6.00,1,0,1,1,1,1,1
5,2,2,2,2,1,1,70,1,72,1,63,1,68,1,8,8,,5,4,8,8,4,2,8,8,5,7,5,7,1,6,6,6,5,5,4,5,6,7,7,6,7,4,4,3,4,5,4,6,4,4,2,1,2,3,6,2,6,4,7,6,6,6,4,4,4,6,6,5,6,4,4,3,2,1,4,4,2,4,7,7,5,5,7,2,7,1,3,2,10,Frederick,39,2,2,55.00,1,60.00,1,Excel Energy,2100,4.00,3,1,1,7,2,10,40.16720581,-105.10189820000000,5.75,4.50,6.00,6.67,3.50,5.00,4.00,6.25,4.00,6.00,0,1,1,1,1,1,1
6,1,2,2,1,1,0,69,1,68,1,67,1,72,1,4,4,,,5,4,4,7,1,4,4,1,1,1,1,1,7,7,4,7,2,4,5,2,5,7,6,6,2,5,5,2,6,7,6,2,4,2,2,2,6,6,4,6,2,7,7,7,7,4,1,1,5,5,6,5,5,5,5,5,4,2,1,1,1,5,7,2,7,7,1,7,1,2,2,24,Lexington,35,1,1,110.00,2,150.00,3,Kentucky Utilities,1292,2.00,2,3,1,6,5,7,37.98869324,-84.48799896000000,6.25,3.00,5.00,6.33,3.50,6.33,3.00,7.00,2.50,5.00,0,0,1,1,1,1,1
7,1,2,2,2,2,1,70,1,,0,50,1,,0,3,3,,,4,3,3,5,6,4,4,1,2,1,2,1,7,6,6,6,5,5,6,4,7,6,7,6,4,4,3,5,6,5,3,5,6,5,2,3,6,6,6,7,6,7,7,7,7,6,5,5,6,5,5,5,4,6,6,5,3,5,6,4,5,6,2,1,2,5,1,7,1,1,1,29,watertown,36,2,1,200.00,3,175.00,3,Nstar,1500,3.00,4,5,1,5,5,2,42.37219238,-71.17870331000000,6.25,5.00,6.50,6.33,4.00,4.67,5.50,7.00,5.50,5.00,0,1,1,1,1,1,1
8,1,2,2,1,3,1,74,1,69,1,70,1,70,1,2,2,,,5,3,3,4,4,4,5,4,6,5,6,2,6,6,7,7,7,7,4,7,7,6,4,6,5,4,3,6,6,6,6,3,3,1,1,1,1,7,4,7,1,7,7,7,7,4,4,4,7,7,7,7,7,6,6,4,2,5,5,5,5,7,7,7,7,5,2,7,1,2,2,43,Oklahoma City,24,2,1,150.00,3,190.00,3,OG&E,1250,2.00,5,7,1,6,3,10,35.54229736,-97.61889648000000,6.50,7.00,5.50,5.33,4.50,6.00,3.00,7.00,4.00,7.00,1,0,1,1,1,1,1
9,2,1,11,1,2,1,,0,,0,,0,,0,1,1,7,,5,1,1,,1,1,1,1,1,1,1,1,7,7,7,7,3,5,7,7,7,7,7,7,5,5,5,5,2,6,2,3,2,2,1,1,1,6,5,7,5,7,7,7,7,5,4,5,7,7,7,7,7,7,7,7,4,5,4,4,4,7,7,7,7,8,8,4,1,1,1,15,Tampa,35,2,1,90.00,2,80.00,2,TECO,950,2.00,3,4,1,5,2,10,27.94439697,-82.41899872000000,7.00,4.00,7.00,7.00,5.00,3.33,2.50,7.00,4.50,7.00,1,0,1,1,1,1,1
10,3,3,2,2,1,1,72,1,70,1,72,1,70,1,8,6,,2,5,6,6,7,1,5,5,3,5,3,5,1,6,6,6,6,5,5,5,3,5,6,6,6,3,5,3,3,7,7,7,4,4,3,1,4,5,4,3,5,4,5,5,5,5,3,3,2,5,5,5,5,5,5,5,3,2,5,5,3,3,7,5,3,1,6,1,3,1,2,1,42,Springfield,42,2,2,200.00,3,100.00,2,Ohio Edison,2000,4.00,4,6,1,8,4,12,39.96710205,-83.76940155000000,6.00,5.00,5.00,6.00,3.00,7.00,4.00,5.00,3.00,5.00,0,1,1,1,1,1,1
11,3,1,1,1,1,0,68,1,80,1,,2,,2,4,5,,,5,4,5,6,,4,5,5,5,6,6,1,5,3,4,4,6,7,7,6,7,6,5,6,4,5,3,3,2,3,3,2,4,3,3,2,2,7,4,6,6,6,6,6,7,4,3,3,6,7,7,7,7,6,6,7,4,3,3,2,2,6,7,7,7,6,7,7,1,1,1,49,columbia,42,1,2,50.00,1,100.00,2,fairfield electric,1700,3.00,1,4,1,7,4,4,35.70790100,-79.81359863000000,4.00,6.50,7.00,5.67,3.00,2.67,3.00,6.25,3.50,7.00,1,0,1,1,1,1,1
12,3,3,2,2,1,1,68,1,73,1,65,1,,2,4,4,,,1,4,6,4,3,2,2,3,4,3,4,2,7,5,5,7,6,6,5,5,5,7,3,6,4,4,4,4,2,2,2,1,2,3,1,1,1,5,5,6,3,5,5,5,5,4,4,2,2,3,6,4,6,4,3,3,4,6,6,4,6,7,7,2,2,7,6,7,2,2,1,33,Kansas City,27,1,2,60.00,1,70.00,1,KCP&L,1600,3.00,2,3,1,6,4,7,39.09970093,-94.57859802000000,6.00,6.00,5.00,5.33,4.00,2.00,1.50,5.00,4.00,3.50,1,0,1,1,1,1,1
