"","Age","OwnRent","SqftCate","Income","Educ","EnergyC","Attitude","PBC","MC","ComfNS","SubNorm","HabitC"
"Age","1","","","","","","","","","","",""
"OwnRent","0.368856520179533","1","","","","","","","","","",""
"SqftCate","0.276071347171836","0.48529586773381","1","","","","","","","","",""
"Income","0.182583367080747","0.33946424111393","0.355395432359381","1","","","","","","","",""
"Educ","0.148103348868273","0.0675380268166493","0.00554631386915633","0.247585295183406","1","","","","","","",""
"EnergyC","-0.0166767759214103","-0.0731261360544894","-0.0955817266084428","-0.0950712242975889","0.14111148126837","1","","","","","",""
"Attitude","0.0717658588757512","-0.00760035794887058","-0.0136660797590906","-0.0609810391288798","0.0837651462693148","0.571150502415223","1","","","","",""
"PBC","0.042106895110817","-0.0110792565609716","-0.0630783195997467","-0.0788717463400438","-0.00251027279341048","0.152716525451614","0.273626064521451","1","","","",""
"MC","0.0562332512013021","0.0477316892342926","-0.0107820516034209","-0.0436178488816162","0.0786491720521455","0.273769491753221","0.404691826422637","0.311123536792911","1","","",""
"ComfNS","0.0600530200970348","0.012508565767688","0.0484914178883823","0.0207733329098668","-0.0970267740202454","-0.179640106877824","-0.147079801656012","0.0253896018737507","-0.0881773576840549","1","",""
"SubNorm","-0.0390424141554672","-0.0607622476748242","-0.0298064681842728","-0.0473340568764348","0.132682859115151","0.341602745914503","0.339981280823768","0.174875707708294","0.249507276905033","-0.113768625538504","1",""
"HabitC","0.0424404277981123","0.0410949676601935","0.0178622750253089","0.0117155226664645","0.118589298871676","0.188694940280909","0.235444889410493","0.14700806769687","0.220033192536616","-0.26508912327972","0.259654217939724","1"
